site_code,year,month,day,hour,minute,second,datetime,time_decimal,air_sample_container_id,value,value_unc,latitude,longitude,altitude,elevation,intake_height,method,event_number,instrument,analysis_datetime,qcflag
LAC,2015,1,31,21,6,48,1/31/2015 13:06,2015.084602,5/1/3092,412.88,-999.999,33.8802,-117.8845,125,75,50,R,382258,L8,2/18/2015 18:12,...
LAC,2015,2,3,21,6,0,2/3/2015 13:06,2015.09282,7/1/3041,457.96,-999.999,34.2841,-118.4727,442,391,51,R,382270,L8,2/19/2015 6:31,...
LAC,2015,2,3,21,6,48,2/3/2015 13:06,2015.092821,7/1/3092,462.84,-999.999,33.8802,-117.8845,125,75,50,R,382260,L8,2/18/2015 18:28,...
LAC,2015,2,7,21,5,58,2/7/2015 13:05,2015.103778,9/1/3041,428.01,-999.999,34.2841,-118.4727,442,391,51,R,382272,L8,2/19/2015 6:47,...
LAC,2015,2,7,21,6,48,2/7/2015 13:06,2015.10378,9/1/3092,456.64,-999.999,33.8802,-117.8845,125,75,50,R,382262,L8,2/18/2015 18:44,...
LAC,2015,2,10,21,6,3,2/10/2015 13:06,2015.111998,11/1/3041,402.52,-999.999,34.2841,-118.4727,442,391,51,R,382274,L8,2/19/2015 7:03,...
LAC,2015,2,12,21,55,19,2/12/2015 13:55,2015.117571,5/1/3073,414.09,-999.999,34.0216,-118.2891,105,55,50,R,382250,L8,2/19/2015 5:11,...
LAC,2015,2,12,21,55,19,2/12/2015 13:55,2015.117571,7/1/3073,414.04,-999.999,34.0216,-118.2891,105,55,50,R,382252,L8,2/19/2015 5:27,...
LAC,2015,2,13,21,5,41,2/13/2015 13:05,2015.120216,1/1/3062,413.66,-999.999,34.0216,-118.2891,105,55,50,R,383113,L8,3/10/2015 4:26,...
LAC,2015,2,13,21,6,38,2/13/2015 13:06,2015.120218,1/1/3047,480.8,-999.999,34.2841,-118.4727,442,391,51,R,383177,L8,3/11/2015 16:47,C..
LAC,2015,2,13,21,6,44,2/13/2015 13:06,2015.120218,1/1/3013,407.65,-999.999,33.8802,-117.8845,125,75,50,R,383125,L8,3/10/2015 6:02,...
LAC,2015,2,16,21,5,42,2/16/2015 13:05,2015.128436,3/1/3062,451.61,-999.999,34.0216,-118.2891,105,55,50,R,383115,L8,3/10/2015 4:42,...
LAC,2015,2,16,21,6,42,2/16/2015 13:06,2015.128437,3/1/3047,449.94,-999.999,34.2841,-118.4727,442,391,51,R,383179,L8,3/11/2015 17:03,...
LAC,2015,2,16,21,6,46,2/16/2015 13:06,2015.128438,3/1/3013,422.94,-999.999,33.8802,-117.8845,125,75,50,R,383127,L8,3/10/2015 6:18,...
LAC,2015,2,19,21,5,40,2/19/2015 13:05,2015.136655,5/1/3062,459.72,-999.999,34.0216,-118.2891,105,55,50,R,383117,L8,3/10/2015 4:58,...
LAC,2015,2,19,21,6,42,2/19/2015 13:06,2015.136657,5/1/3047,438.45,-999.999,34.2841,-118.4727,442,391,51,R,383181,L8,3/11/2015 17:19,...
LAC,2015,2,19,21,6,48,2/19/2015 13:06,2015.136657,5/1/3013,463.69,-999.999,33.8802,-117.8845,125,75,50,R,383129,L8,3/10/2015 6:33,...
LAC,2015,2,22,21,5,46,2/22/2015 13:05,2015.144874,7/1/3062,407.75,-999.999,34.0216,-118.2891,105,55,50,R,383119,L8,3/10/2015 5:14,...
LAC,2015,2,22,21,6,42,2/22/2015 13:06,2015.144876,7/1/3047,409.08,-999.999,34.2841,-118.4727,442,391,51,R,383183,L8,3/11/2015 17:35,...
LAC,2015,2,22,21,6,51,2/22/2015 13:06,2015.144876,7/1/3013,404.48,-999.999,33.8802,-117.8845,125,75,50,R,383131,L8,3/10/2015 6:49,...
LAC,2015,2,25,21,5,44,2/25/2015 13:05,2015.153093,9/1/3062,424.26,-999.999,34.0216,-118.2891,105,55,50,R,383121,L8,3/10/2015 5:30,...
LAC,2015,2,25,21,6,40,2/25/2015 13:06,2015.153095,9/1/3047,428.08,-999.999,34.2841,-118.4727,442,391,51,R,383185,L8,3/11/2015 17:51,...
LAC,2015,2,25,21,6,49,2/25/2015 13:06,2015.153095,9/1/3013,415.04,-999.999,33.8802,-117.8845,125,75,50,R,383133,L8,3/10/2015 7:05,...
LAC,2015,2,28,21,5,46,2/28/2015 13:05,2015.161312,11/1/3062,404.9,-999.999,34.0216,-118.2891,105,55,50,R,383123,L8,3/10/2015 5:46,...
LAC,2015,2,28,21,6,43,2/28/2015 13:06,2015.161314,11/1/3047,403.39,-999.999,34.2841,-118.4727,442,391,51,R,383187,L8,3/11/2015 18:07,...
LAC,2015,2,28,21,6,50,2/28/2015 13:06,2015.161314,11/1/3013,405.78,-999.999,33.8802,-117.8845,125,75,50,R,383135,L8,3/10/2015 7:21,...
LAC,2015,3,3,21,5,42,3/3/2015 13:05,2015.169531,1/1/3711,417.19,-999.999,34.0216,-118.2891,105,55,50,R,384264,L8,3/27/2015 3:38,...
LAC,2015,3,3,21,6,43,3/3/2015 13:06,2015.169533,1/1/3091,407.74,-999.999,34.2841,-118.4727,442,391,51,R,384230,L8,3/27/2015 2:03,...
LAC,2015,3,3,21,6,54,3/3/2015 13:06,2015.169534,1/1/3030,410.6,-999.999,33.8802,-117.8845,125,75,50,R,384252,L8,3/27/2015 0:27,...
LAC,2015,3,6,21,5,38,3/6/2015 13:05,2015.17775,3/1/3711,413.41,-999.999,34.0216,-118.2891,105,55,50,R,384266,L8,3/27/2015 3:54,...
LAC,2015,3,6,21,6,42,3/6/2015 13:06,2015.177752,3/1/3091,404.39,-999.999,34.2841,-118.4727,442,391,51,R,384232,L8,3/27/2015 2:19,...
LAC,2015,3,6,21,6,50,3/6/2015 13:06,2015.177753,3/1/3030,409.32,-999.999,33.8802,-117.8845,125,75,50,R,384254,L8,3/27/2015 0:43,...
LAC,2015,3,9,21,5,39,3/9/2015 14:05,2015.18597,5/1/3711,435.81,-999.999,34.0216,-118.2891,105,55,50,R,384268,L8,3/27/2015 4:10,...
LAC,2015,3,9,21,6,43,3/9/2015 14:06,2015.185972,5/1/3091,434.74,-999.999,34.2841,-118.4727,442,391,51,R,384234,L8,3/27/2015 2:35,...
