Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1990,1990,100 g/ha,36941,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1990,1990,t,483387901.3,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1991,1991,ha,133633935,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1991,1991,100 g/ha,36997,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1991,1991,t,494402007.3,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1992,1992,ha,136644303,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1992,1992,100 g/ha,39063,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1992,1992,t,533776874.5,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1993,1993,ha,131443616,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1993,1993,100 g/ha,36306,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1993,1993,t,477215762.9,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1994,1994,ha,138291305,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1994,1994,100 g/ha,41120,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1994,1994,t,568654838.6,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1995,1995,ha,135768332,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1995,1995,100 g/ha,38101,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1995,1995,t,517290721.1,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1996,1996,ha,139349612,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1996,1996,100 g/ha,42062,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1996,1996,t,586137227.7,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1997,1997,ha,140778070,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1997,1997,100 g/ha,41512,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1997,1997,t,584401175.8,A,Official figure,
